generation,hypervolume,nondominated_count,best_obj_0,mean_obj_0,std_obj_0,best_obj_1,mean_obj_1,std_obj_1,best_obj_2,mean_obj_2,std_obj_2,best_obj_3,mean_obj_3,std_obj_3
46,1462121.45748,64,40.30360794067383,20.4250545501709,9.543594360351562,29.6894588470459,10.739913940429688,13.694780349731445,46.18757247924805,20.414337158203125,14.334823608398438,30.678781509399414,11.430673599243164,9.941184997558594
47,1461335.4859200001,64,40.30360794067383,19.807605743408203,8.86998176574707,29.6894588470459,12.11904525756836,12.90333080291748,46.18757247924805,20.819271087646484,14.134032249450684,30.678781509399414,12.381645202636719,9.856907844543457
48,1448613.93404,64,40.2151985168457,19.833980560302734,8.772212028503418,31.69425392150879,12.236980438232422,12.554325103759766,46.18757247924805,21.44693374633789,13.868961334228516,30.678781509399414,12.128458023071289,10.020167350769043
49,1480728.9518000002,64,40.2151985168457,19.86795997619629,9.469709396362305,33.95579528808594,12.060083389282227,13.00464916229248,46.18757247924805,20.71822738647461,13.93899917602539,30.678781509399414,12.116863250732422,9.793317794799805
50,1483355.3646099998,64,40.2151985168457,20.57330322265625,9.751631736755371,33.95579528808594,11.440030097961426,13.528665542602539,46.18757247924805,19.49822235107422,14.304222106933594,30.678781509399414,12.913084030151367,9.601757049560547
51,1471592.03778,64,40.2151985168457,20.391254425048828,9.735786437988281,33.95579528808594,11.93964958190918,12.989805221557617,46.18757247924805,19.561126708984375,14.230912208557129,30.678781509399414,13.321969985961914,9.259214401245117
52,1484863.1617049999,64,40.2151985168457,20.05727767944336,9.309516906738281,35.60529708862305,12.715129852294922,13.422191619873047,46.18757247924805,21.06599235534668,13.649114608764648,30.678781509399414,12.211052894592285,9.232372283935547
53,1599180.0531300001,64,45.630435943603516,19.676467895507812,8.529434204101562,35.60529708862305,14.612752914428711,11.345271110534668,46.18757247924805,22.833770751953125,11.50308609008789,29.779367446899414,12.591093063354492,9.409878730773926
54,1599654.3328900002,64,45.630435943603516,19.51453971862793,8.802789688110352,35.60529708862305,14.807435989379883,11.605103492736816,46.18757247924805,22.98485565185547,11.530345916748047,29.779367446899414,12.369392395019531,9.383459091186523
55,1624309.97647,64,45.630435943603516,19.97329330444336,8.62497615814209,35.60529708862305,14.215422630310059,11.249643325805664,46.18757247924805,22.106796264648438,12.583592414855957,29.779367446899414,13.40694808959961,9.394034385681152
56,1624464.4629000002,64,45.630435943603516,19.90691375732422,8.639969825744629,35.60529708862305,14.625982284545898,11.094426155090332,45.14675521850586,22.031036376953125,12.454682350158691,29.779367446899414,13.739360809326172,9.256486892700195
57,1627371.74574,64,45.630435943603516,20.130901336669922,8.546671867370605,35.60529708862305,13.829327583312988,10.912124633789062,45.14675521850586,22.29607391357422,12.917966842651367,29.779367446899414,13.139524459838867,9.517590522766113
58,1599116.2488,64,45.630435943603516,20.645793914794922,8.428800582885742,35.60529708862305,14.02115249633789,10.64874267578125,42.769927978515625,22.130084991455078,12.156136512756348,29.779367446899414,13.659637451171875,8.907185554504395
59,1579224.5043,64,36.805171966552734,20.163864135742188,7.535270690917969,33.95579528808594,14.956060409545898,9.17064094543457,42.46002197265625,23.811004638671875,11.532071113586426,29.779367446899414,13.209808349609375,9.002706527709961
60,1592538.2203499998,64,40.357421875,20.40016746520996,8.534577369689941,33.95579528808594,14.88801383972168,10.51426887512207,43.28530502319336,22.84225845336914,11.595735549926758,29.779367446899414,13.371747970581055,8.654098510742188
61,1603325.17027,64,40.357421875,20.14017677307129,8.53374195098877,33.95579528808594,14.564305305480957,10.829483985900879,42.46002197265625,22.25541114807129,12.207595825195312,29.779367446899414,13.572637557983398,9.146349906921387
62,1589432.16415,64,40.357421875,20.473552703857422,8.874482154846191,33.95579528808594,14.01056957244873,11.147348403930664,42.46002197265625,21.858333587646484,12.296906471252441,29.779367446899414,13.442197799682617,9.20293140411377
63,1573514.2792800001,64,40.357421875,20.156492233276367,8.999454498291016,33.95579528808594,14.397939682006836,11.701743125915527,43.42311477661133,22.026084899902344,12.325247764587402,29.779367446899414,13.186981201171875,9.243124008178711
64,1560071.89143,64,40.32490921020508,19.404170989990234,8.355648040771484,33.95579528808594,15.165118217468262,11.040261268615723,43.42311477661133,23.095935821533203,12.102778434753418,29.779367446899414,12.859391212463379,9.186723709106445
65,1542239.51442,64,40.53757858276367,19.7382869720459,8.182096481323242,33.95579528808594,15.071701049804688,10.465853691101074,43.42311477661133,23.860919952392578,11.907520294189453,29.779367446899414,12.548622131347656,9.19498348236084
66,1498040.8570599998,64,40.53757858276367,20.675701141357422,8.423437118530273,33.1295166015625,13.028876304626465,11.352910995483398,43.42311477661133,23.355133056640625,12.973151206970215,30.462617874145508,11.940988540649414,9.51292896270752
67,1516406.404135,64,39.78025817871094,21.510814666748047,8.44737720489502,27.511327743530273,11.983474731445312,11.806485176086426,43.43035888671875,22.943439483642578,12.541794776916504,30.462617874145508,11.59646224975586,9.569302558898926
68,1495798.1439099999,64,39.78025817871094,21.1833553314209,8.986241340637207,33.36477279663086,11.382234573364258,12.412972450256348,43.43035888671875,21.908145904541016,13.721961975097656,30.462617874145508,11.669595718383789,9.83226490020752
69,1478680.95405,64,40.44254684448242,21.817081451416016,9.24822998046875,33.36477279663086,11.074884414672852,13.228208541870117,43.43035888671875,23.00229835510254,12.568897247314453,30.462617874145508,10.478657722473145,9.912872314453125
